Student,LPIPS,SSIM
113378043.png,0.264047891,0.624256078
111332012.png,0.272833109,0.635748267
112590036.png,0.310483277,0.724870567
109810011.png,0.317727685,0.665787943
112590007.png,0.328895032,0.674795356
110590456.png,0.331311703,0.633214922
112590059.png,0.332015932,0.691059998
112590038.png,0.335690886,0.691167732
112590057.png,0.338257641,0.574446236
112590060.png,0.338965595,0.687252119
112590004.png,0.343582332,0.653585836
110590041.png,0.348947912,0.648981172
112590017.png,0.363226503,0.643475416
112590020.png,0.36480549,0.600680321
112590041.png,0.365085274,0.669111736
112590022.png,0.368598044,0.594200969
112590026.png,0.372199476,0.60977492
112590003.png,0.379261315,0.678741512
111820017.jpg,0.387116551,0.644776532
112590014.png,0.387740999,0.64082442
112590044.png,0.394234329,0.632781958
112590030.png,0.406180948,0.575021888
112590021.png,0.414320052,0.560669277
112590056.png,0.41604805,0.680463019
112590012.png,0.419626564,0.660389893
112590035.png,0.422714412,0.594161835
112590031.png,0.42456153,0.515530591
112590013.png,0.424932808,0.673846644
112590023.png,0.426936418,0.639778938
112590052.png,0.433220804,0.538002237
112590029.png,0.437472016,0.673749055
112590033.png,0.442432106,0.667147046
110820009.png,0.462284565,0.612384062
112590024.png,0.469880283,0.553749909
112590051.png,0.476665586,0.498127611
112590005.png,0.482995272,0.58357278
112ab0053.png,0.487653047,0.653000002
112590053.png,0.502486587,0.480621765
112590018.png,0.564809084,0.421996742
112590009.png,0,1
